speciesMT,replicate,selection_temperature,temperature,r0_median,r0_mean,r0_min,r0_max,r0_sd,K_median,K_mean,K_sd,K_min,K_max,N0_median,N0_mean,N0_sd,N0_min,N0_max,d_median,d_mean,d_sd,d_min,d_max,tcrit_median,trcit_mean,tcrit_sd,tcrit_min,tcrit_max,tref,k
Tet_VII,a,39,5,0.003995719459184397,0.005797868648553232,0.0013540899409633536,0.023925751441760793,0.007227868137553517,23632.790660851773,26915.840451403765,14645.411449189432,8558.644497703433,64435.59603490245,74.1583635866317,78.70731405284504,28.238640056987204,38.34219028917907,146.52626755794762,0.008285307040510339,0.0108445384355754,0.008482673723412723,8.094357683400077e-4,0.02840220843222314,92.99123608700498,105.88186117087054,56.00722453053995,35.727703147157435,251.41509389589277,293.15,8.62e-5
Tet_VII,a,39,10,0.017861386473992984,0.018350617261234332,0.013282883173358455,0.02647430852652596,0.0033519618467770856,28980.403585374144,32024.624834880004,14884.932687962077,12581.285479062093,68415.6958186278,84.97602137179004,88.64005771909048,26.547728860475267,47.50405566848993,150.0330709391016,0.002394456400181228,0.002910142017770533,0.002297884154083542,5.089312909252558e-4,0.008134489241595698,109.44325149300091,127.19373025667153,72.60035204765217,40.9208314803509,317.7108409092482,293.15,8.62e-5
Tet_VII,a,39,15,0.06582056507135214,0.06637436731598866,0.04790672822152249,0.08847314331605668,0.010279192372150515,31243.836316588648,32838.88994145318,9632.062544760112,18802.646011559103,56177.256906160634,70.19468172929587,74.75494227744879,25.538336588758007,38.61879265601025,138.93813078341117,0.00185198629083944,0.002179619865567306,0.0015406444818883785,4.115189478228404e-4,0.005836688753976071,113.24081380184862,132.1582154185019,76.45074780648794,39.46382544568674,330.4122769792546,293.15,8.62e-5
Tet_VII,a,39,20,0.13882816942277054,0.138549582072077,0.10802866792405542,0.16779605194232533,0.01491112211890578,33202.465724395006,33982.491620279514,6257.4284427989105,23988.597536681482,48369.72922876122,41.401410571156646,44.401270851430525,14.676315695255953,24.84930155322802,81.59532788830792,0.0014902491445260226,0.0017511269676968454,0.0012546960425270097,4.028581182799792e-4,0.00458321038237147,112.6078305371012,131.10160643175283,76.8176673299939,39.94402567242968,339.7459705130977,293.15,8.62e-5
Tet_VII,a,39,25,0.19499076745543648,0.19363998572730984,0.1538604150408213,0.22554431014232124,0.017870529381681204,33397.992872620816,33961.17562720998,5288.386861251131,25207.594305145856,46295.317548595194,30.171845720101075,32.765997417774116,11.72905267760856,18.865952018541726,63.35085632726201,0.0015098327881372974,0.0017212064150064,0.00129010039497237,4.2940617120170246e-4,0.004057937866000986,114.5600018132319,130.43224313062544,72.60365993334068,41.59288513440183,313.6609225011879,293.15,8.62e-5
Tet_VII,a,39,30,0.2143478611171012,0.21714538532743927,0.1496188860178153,0.3062292337918004,0.039064746651886244,24154.56848826007,24971.530493273985,6690.542832542083,14606.698325822414,40996.5861337847,43.50776391359966,48.55287881832238,21.967573047179446,21.983265959417132,103.85189622105946,0.00422303367886136,0.0042795264994038365,0.0015600813800203247,0.0014533165878731658,0.007446300731657359,88.39574364252087,95.12640600310466,40.34711161595495,37.47577307211928,190.73635586349278,293.15,8.62e-5
Tet_VII,a,39,33,0.20099049251456408,0.2060759777082882,0.13965751075177654,0.31813796054749105,0.042366740639023424,23214.603460262173,23945.482406710278,6468.862582612346,13608.6673813674,38705.236522796025,46.4139339986842,51.39948931067928,22.119231132325435,24.235067393715433,106.90854791620771,0.005829020176106416,0.0058579171038029105,0.0016208463370836616,0.002729174565487182,0.009230209820353446,84.13070098532458,89.37780665159592,35.477647514767774,37.09456937581494,171.0751481222917,293.15,8.62e-5
Tet_VII,a,39,36,0.1629740955638206,0.17753802679853525,0.10375622405619757,0.39101106314803463,0.06819500403721038,18069.988498690098,19239.632351577802,6865.083018546138,9493.768401015659,35921.55170437603,74.53056922995083,80.5335404461803,33.7223706278325,34.19493590420294,163.8059321268139,0.006740887363472138,0.006772303586601608,0.002036817794762405,0.0028908473081300816,0.01087629709499076,78.63905135752717,83.5619491854055,33.36929183122629,33.915120612406,165.32097160078192,293.15,8.62e-5
Tet_VII,a,39,39,0.051885744397288866,0.05485760611436112,0.026268200079355618,0.09821138781792099,0.019137342484708532,12331.421806518953,14179.338292363042,7761.96313365606,4810.859531667546,33919.68781589721,84.91594344205136,92.75033906320948,39.13910031136433,40.68428617818946,188.16546402369298,0.010892070961745054,0.011002544188590225,0.0027712393264827133,0.005969263557606098,0.016751993807415294,65.38782469774307,70.38970860288418,29.326366053341296,27.984302979795665,140.7991484270476,293.15,8.62e-5
Tet_VII,a,39,40,0.02006395946149879,0.022940562710618288,0.0056533929215110065,0.05399834582124806,0.013478898080029169,17663.724461250527,20293.70394174445,11649.490391717825,5900.098604055823,50027.73060470787,93.10272338646551,99.78346163541985,39.832793361926115,41.625618927528976,197.57472270938908,0.01596825765226922,0.016304365680310472,0.00479706890007453,0.007808749407022552,0.02643504956624109,70.3798168072984,78.08738455321797,36.68352310104217,28.96675263076147,171.59163174902926,293.15,8.62e-5
